Recorded Date,GASO Name,GASO NPI,Service Counties,Service Cities,Service ZIPs,EOA Name,EOA Description,Rate Type,Contracted Ambulance Provider NPI,Contracted Ambulance Provider Name,A0428 (BLS-NE),A0429 (BLS-E),A0426 (ALS1-NE),A0427 (ALS1-E),A0433 (ALS2),A0434 (SCT),A0998 (Non-TX),A0425 (Mileage),Effective Date,Additional Comments,Source URL,Rate Source URL,EOA Source URL,NPI Source URL,Scraped At
2026-01-11,Los Angeles County EMS Agency,1194836114,Los Angeles,Los Angeles (City proper),"900xx, 901xx",EOA 9,,Emergency (911),1194836114,Los Angeles County EMS Agency,2121.0,2276.0,3184.0,3408.0,,3835.0,,30.0,"JULY 1, 2025",,https://file.lacounty.gov/SDSInter/dhs/1179694_LACountyAmbRatesFY2526.pdf,https://file.lacounty.gov/SDSInter/dhs/1179694_LACountyAmbRatesFY2526.pdf,https://file.lacounty.gov/SDSInter/dhs/1144684_Table12aStateAmbulanceZone2021-2022_CR.pdf,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:41.133681
2026-01-11,San Diego County Fire District,1114989639,San Diego,"Encinitas, Escondido, Fallbrook, Poway, San Marcos","920xx, 922xx",County-wide,,Emergency (911),1114989639,San Diego County Fire District,,,,3743.0,,,460.0,48.0,"July 1, 2025",,https://www.sandiegocounty.gov/content/sdc/sdcfa/sdcfd_emergency_ambulance_services.html,https://www.sandiegocounty.gov/content/sdc/sdcfa/sdcfd_emergency_ambulance_services.html,https://www.sandiegocounty.gov/content/sdc/sdcfa/sdcfd_emergency_ambulance_services.html,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:42.473429
2026-01-11,Orange County EMS Agency,1780719567,Orange,"Anaheim, Santa Ana, Irvine, Huntington Beach, Orange, Fullerton, Costa Mesa, Newport Beach, Garden Grove, Westminster, Laguna Beach, Mission Viejo, San Clemente","926xx, 927xx, 928xx",Region A-E,,Emergency (911),1780719567,Orange County EMS Agency,,2413.51,,2923.74,,,,25.1,"JULY 1, 2025",,https://www.ochealthinfo.com/sites/healthcare/files/2025-07/%235475%20-%20Maximum%20Emergency%20Ground%20Ambulance%20Rates%20-%20July%201%2C%202025.pdf,https://www.ochealthinfo.com/sites/healthcare/files/2025-07/%235475%20-%20Maximum%20Emergency%20Ground%20Ambulance%20Rates%20-%20July%201%2C%202025.pdf,https://ochealthinfo.com/providers-partners/emergency-medical-services/ambulance-performance-section,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:45.807926
2026-01-11,Riverside County EMS Agency,1376656981,Riverside,"Desert Hot Springs, Sky Valley",922xx,The Coves,"Riverside, Hemet, Palm Springs, Blythe areas",Emergency (911),1376656981,Riverside County EMS Agency,,3446.16,,3446.16,,,,83.8,"July 1, 2025",,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:47.170109
2026-01-11,Riverside County EMS Agency,1376656981,Riverside,"Desert Hot Springs, Sky Valley",922xx,The Coves,Cathedral City,Emergency (911),1376656981,Riverside County EMS Agency,,2100.0,,2100.0,,,,35.0,"July 1, 2025",,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:47.170270
2026-01-11,Riverside County EMS Agency,1376656981,Riverside,"Desert Hot Springs, Sky Valley",922xx,The Coves,The Coves area,Emergency (911),1376656981,Riverside County EMS Agency,,1450.0,,,,,,29.0,"July 1, 2025",,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:47.170364
2026-01-11,Riverside County EMS Agency,1376656981,Riverside,"Desert Hot Springs, Sky Valley",922xx,The Coves,Indio area,Emergency (911),1376656981,Riverside County EMS Agency,,1564.0,,,,,,30.0,"July 1, 2025",,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:47.170448
2026-01-11,Riverside County EMS Agency,1376656981,Riverside,"Desert Hot Springs, Sky Valley",922xx,The Coves,Idyllwild area,Emergency (911),1376656981,Riverside County EMS Agency,,1850.0,,2650.0,,,,57.5,"July 1, 2025",,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://rivcoready.org/sites/g/files/aldnop181/files/2025-07/Ambulance%20FY25-26%20Rate%20Sheet.pdf,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:47.170551
2026-01-11,Inland Counties EMS Agency,1376656973,San Bernardino,"San Bernardino, Fontana, Ontario, Rancho Cucamonga, Rialto, Redlands, Upland, Chino, Victorville, Hesperia, Apple Valley, Barstow, Big Bear Lake","917xx, 919xx, 923xx, 924xx",County-wide,,Emergency (911),1376656973,Inland Counties EMS Agency,2400.0,2400.0,2850.0,2850.0,,,,52.0,,"Fallback from notes: ALS $2,850, BLS $2,400, Mileage $52/mi (2025 AMR rates)",https://icema.sbcounty.gov/for-the-public/ambulance-rates/,https://icema.sbcounty.gov/for-the-public/ambulance-rates/,https://icema.sbcounty.gov/for-the-public/ambulance-rates/,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:49.356198
2026-01-11,Santa Clara County EMS Agency,1285748059,Santa Clara,"San Jose, Santa Clara, Sunnyvale, Mountain View, Palo Alto, Milpitas, Cupertino, Los Gatos, Gilroy, Morgan Hill","940xx, 950xx, 951xx",County-wide,,Emergency (911),1285748059,Santa Clara County EMS Agency,2100.0,2100.0,2574.0,2574.0,,,,62.18,,"Fallback from notes: ALS $2,574, BLS $2,100, Mileage $62.18/mi (2025 AMR rates)",https://ems.santaclaracounty.gov/documents/agreements,https://ems.santaclaracounty.gov/documents/agreements,https://ems.santaclaracounty.gov/,https://npiregistry.cms.hhs.gov/,2026-01-11T22:29:55.304152
