county,eoa_name,service_zip_codes,HCPCS_Code,rate,rate_type_service,rate_type_provider,source_url,other_research_comments,other_source_urls,effective_date,NPI,gaso_npi,provider_name,data_quality_flag,research_notes
Alameda,County-wide,"94501, 94502, 94536, 94537, 94538, 94539, 94540, 94541, 94542, 94543, 94544, 94545, 94546, 94550, 94551, 94552, 94555, 94557, 94560, 94566, 94568, 94577, 94578, 94579, 94580, 94586, 94587, 94588, 94601, 94602, 94603, 94604, 94605, 94606, 94607, 94608, 94609, 94610, 94611, 94612, 94613, 94614, 94615, 94617, 94618, 94619, 94620, 94621, 94622, 94623, 94624, 94649, 94659, 94660, 94661, 94662, 94666, 94701, 94702, 94703, 94704, 94705, 94706, 94707, 94708, 94709, 94710, 94712, 94720",A0425,91.41,911,contracted,https://ems.acgov.org/index.page,"Verified from Alameda County FY2024-25 EMS User Fee Schedule - ALS Bundled Base $4,051.06, Mileage $91.41",https://ems.acgov.org/ | https://npiregistry.cms.hhs.gov/,2024-07-01,1386905016,1205948765,Falck Northern California,Verified,Alameda County EMS Agency website is the source for ambulance rates. Falck Northern California holds the county ambulance services contract. HCPCS codes mapped from county rate schedule categories.
Alameda,County-wide,"94501, 94502, 94536, 94537, 94538, 94539, 94540, 94541, 94542, 94543, 94544, 94545, 94546, 94550, 94551, 94552, 94555, 94557, 94560, 94566, 94568, 94577, 94578, 94579, 94580, 94586, 94587, 94588, 94601, 94602, 94603, 94604, 94605, 94606, 94607, 94608, 94609, 94610, 94611, 94612, 94613, 94614, 94615, 94617, 94618, 94619, 94620, 94621, 94622, 94623, 94624, 94649, 94659, 94660, 94661, 94662, 94666, 94701, 94702, 94703, 94704, 94705, 94706, 94707, 94708, 94709, 94710, 94712, 94720",A0427,4051.06,911,contracted,https://ems.acgov.org/index.page,"Verified from Alameda County FY2024-25 EMS User Fee Schedule - ALS Bundled Base $4,051.06, Mileage $91.41",https://ems.acgov.org/ | https://npiregistry.cms.hhs.gov/,2024-07-01,1386905016,1205948765,Falck Northern California,Verified,Alameda County EMS Agency website is the source for ambulance rates. Falck Northern California holds the county ambulance services contract. HCPCS codes mapped from county rate schedule categories.
Alameda,County-wide,"94501, 94502, 94536, 94537, 94538, 94539, 94540, 94541, 94542, 94543, 94544, 94545, 94546, 94550, 94551, 94552, 94555, 94557, 94560, 94566, 94568, 94577, 94578, 94579, 94580, 94586, 94587, 94588, 94601, 94602, 94603, 94604, 94605, 94606, 94607, 94608, 94609, 94610, 94611, 94612, 94613, 94614, 94615, 94617, 94618, 94619, 94620, 94621, 94622, 94623, 94624, 94649, 94659, 94660, 94661, 94662, 94666, 94701, 94702, 94703, 94704, 94705, 94706, 94707, 94708, 94709, 94710, 94712, 94720",A0429,4051.06,911,contracted,https://ems.acgov.org/index.page,"Verified from Alameda County FY2024-25 EMS User Fee Schedule - ALS Bundled Base $4,051.06, Mileage $91.41",https://ems.acgov.org/ | https://npiregistry.cms.hhs.gov/,2024-07-01,1386905016,1205948765,Falck Northern California,Verified,Alameda County EMS Agency website is the source for ambulance rates. Falck Northern California holds the county ambulance services contract. HCPCS codes mapped from county rate schedule categories.
Alameda,County-wide,"94501, 94502, 94536, 94537, 94538, 94539, 94540, 94541, 94542, 94543, 94544, 94545, 94546, 94550, 94551, 94552, 94555, 94557, 94560, 94566, 94568, 94577, 94578, 94579, 94580, 94586, 94587, 94588, 94601, 94602, 94603, 94604, 94605, 94606, 94607, 94608, 94609, 94610, 94611, 94612, 94613, 94614, 94615, 94617, 94618, 94619, 94620, 94621, 94622, 94623, 94624, 94649, 94659, 94660, 94661, 94662, 94666, 94701, 94702, 94703, 94704, 94705, 94706, 94707, 94708, 94709, 94710, 94712, 94720",A0998,812.46,911,contracted,https://ems.acgov.org/index.page,"Verified from Alameda County FY2024-25 EMS User Fee Schedule - ALS Bundled Base $4,051.06, Mileage $91.41",https://ems.acgov.org/ | https://npiregistry.cms.hhs.gov/,2024-07-01,1386905016,1205948765,Falck Northern California,Verified,Alameda County EMS Agency website is the source for ambulance rates. Falck Northern California holds the county ambulance services contract. HCPCS codes mapped from county rate schedule categories.
Alpine,County-wide,96120,A0425,65.52,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1769-amwest-ground-ambulance-rates-2025/file,Verified from OCR of MVEMSA 2025 AmWest Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1467744367,1316143938,AmWest Ambulance,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Alpine,County-wide,96120,A0426,4135.04,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1769-amwest-ground-ambulance-rates-2025/file,Verified from OCR of MVEMSA 2025 AmWest Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1467744367,1316143938,AmWest Ambulance,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Alpine,County-wide,96120,A0427,4135.04,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1769-amwest-ground-ambulance-rates-2025/file,Verified from OCR of MVEMSA 2025 AmWest Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1467744367,1316143938,AmWest Ambulance,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Alpine,County-wide,96120,A0428,2860.0,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1769-amwest-ground-ambulance-rates-2025/file,Verified from OCR of MVEMSA 2025 AmWest Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1467744367,1316143938,AmWest Ambulance,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Alpine,County-wide,96120,A0429,2860.0,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1769-amwest-ground-ambulance-rates-2025/file,Verified from OCR of MVEMSA 2025 AmWest Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1467744367,1316143938,AmWest Ambulance,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
Alpine,County-wide,96120,A0434,9100.0,911,contracted,https://mail.mvemsa.org/resources3/documents/contracts/ground-ambulance-provider-rates/1769-amwest-ground-ambulance-rates-2025/file,Verified from OCR of MVEMSA 2025 AmWest Ambulance rate form,https://mail.mvemsa.org/ | https://npiregistry.cms.hhs.gov/,2025-07-01,1467744367,1316143938,AmWest Ambulance,Verified,Mountain-Valley EMS Agency (MVEMSA) 2025 ground ambulance rate form. HCPCS codes mapped from rate categories on the official MVEMSA form.
